1 Woody Barrett	QB	6-2	231	RS FR	Winter Garden  Fla. (West Orange)
3	Nate Craig-Myers 	WR	6-2	208	SO	Dade City  Fla. (Tampa Catholic)
3	Marlon Davidson 	DL	6-3	284	SO	Greenville  Ala. (Greenville)
4	Jeff Holland 	OLB	6-2	255	JR	Jacksonville  Fla. (Trinity Christian)
4	Jason Smith 	WR	6-1	190	SR	Mobile  Ala. (Mississippi Gulf Coast CC)
5	Derrick Brown 	DL	6-5	317	SO	Sugar Hill  Ga. (Lanier)
5	John Franklin III 	QB	6-1	183	SR	Ft. Lauderdale  Fla. (East Mississippi CC)
6	Carlton Davis 	DB	6-1	202	JR	Miami  Fla. (Miami Norland)
8	Marlon Character Jr. 	DB	6-0	186	RS FR	Atlanta  Ga. (Grady)
8	Jarrett Stidham	QB	6-2	210	SO	Stephenville  Texas (McLennan CC)
9	Byron Cowart 	DE	6-3	280	JR	Seffner  Fla. (Armwood)
9	Kam Martin 	RB	5-10	182	SO	Port Arthur  Texas (Memorial)
10	Paul James III 	LB	6-4	271	SR	Miami  Fla. (Copiah-Lincoln CC)
11	Kyle Davis 	WR	6-2	213	SO	Loganville  Ga. (Archer)
12	Jamel Dean 	DB	6-2	211	SO	Cocoa  Fla. (Ohio State)
12	Eli Stove 	WR	6-0	179	SO	Niceville  Fla. (Niceville)
13	Javaris Davis 	DB	5-10	184	SO	Jacksonville  Fla. (Ed White)
13	Sean White 	QB	6-0	190	JR	Boca Raton  Fla. (University Nova South)
14	Stephen Roberts 	DB	5-11	188	SR	Opelika  Ala. (Opelika)
14	Malik Willis	QB	6-1	185	FR	Atlanta  Ga. (Roswell)
16	Devin Adams	QB	6-3	251	SR	Mobile  Ala. (Mississippi Delta CC)
16	Malcolm Askew	DB	5-11	185	FR	McCalla  Ala. (McAdory)
17	Marquis McClain 	WR	6-2	218	RS FR	Crestview  Fla. (Crestview)
17	Chandler Wooten	LB	6-2	225	SO	Acworth  Ga. (North Cobb)
18	Jayvaughn Myers 	DB	6-1	188	RS FR	Dade City  Fla. (Pasco)
19	Nick Ruffin 	DB	6-0	191	SR	Duluth  Ga. (St. Pius X)
20	Jeremiah Dinson 	DB	6-0	186	RS SO	Miami  Fla. (American)
21	Kerryon Johnson 	RB	6-0	204	JR	Madison  Ala. (Madison Academy)
22	John Broussard Jr. 	DB	5-11	168	SO	Phenix City  Ala. (Central)
24	Daniel Thomas	DB	5-11	202	SO	Montgomery  Ala. (Robert E. Lee)
27	Chandler Cox 	FB	6-1	233	JR	Apopka  Fla. (Apopka)
28	Tray Matthews	DB	6-1	207	SR	Newnan  Ga. (Georgia)
29	Tyler Stovall	H	6-1	218	SR	Hokes Bluff  Ala. (Hokes Bluff)
30	Tre' Williams	LB	6-2	235	SR	Mobile  Ala. (St. Paul's Episcopal)
31	Sage Ledbetter 	K/P	6-0	177	RS FR	Auburn  Ala. (Auburn)
32	Malik Miller 	RB	5-11	235	SO	Huntsville  Ala. (Madison Academy)
32	Sam Sherrod	LB	5-11	192	RS FR	Birmingham  Ala. (Briarwood Christian)
33	K.J. Britt	LB	6-0	235	FR	Oxford  Ala. (Oxford)
33	Will Hastings	WR	5-10	167	JR	Little Rock  Ark. (Pulaski Academy)
35	James Owens Moss	WR	5-9	180	RS FR	Opelika  Ala. (Opelika)
